x,y
1,97903151.69551013
2,76808259.37231006
3,50787400.09212338
4,27721314.604128934
5,16813995.912442006
6,11156588.127920425
7,7861570.043952841
8,5785983.235264568
9,4403532.020047877
10,3431862.478745809
11,2737199.930730585
12,2225610.810673151
13,1840315.270610552
14,1543013.37633829
15,1308651.1026645564
16,1121496.1526921317
17,969958.5595162099
18,845610.2192234675
19,742233.7470214907
20,655425.1439249888
21,582202.2239269689
22,520065.073679626
23,466841.5323196985
24,420711.43175363913
25,380709.0127293468
26,346037.6131056007
27,315638.0474181324
28,288820.1167727243
29,265100.1992313377
30,244009.48714971545
31,225192.38835109584
32,208244.39008460008
33,193092.54190417935
34,179586.41257683747
35,167399.56006234698
36,156369.55128938705
37,146308.93312654083
38,137074.99892731567
39,128616.7971005924
40,120897.36852315068
41,113789.27570206672
42,107260.70045410468
43,101306.088007655
44,95847.3378857765
45,90793.82642635144
46,86076.41772630253
47,81699.97366913968
48,77650.66214253566
49,73880.6769046206
50,70367.52262934856
51,67100.53112237714
52,64025.9771697931
53,61108.833974188194
54,58388.11123316549
55,55875.14844519459
56,53510.163085363805
57,51241.91410612874
58,49101.44731360301
59,47091.89106841758
60,45202.644916500896
61,43417.44864296168
62,41734.16164386272
63,40146.54863869585
64,38635.12478514761
65,37186.851639414206
66,35809.08248993568
67,34508.22516251728
68,33273.07732456736
69,32099.203337382525
70,30970.265590766445
71,29898.896371796727
72,28879.261396978047
73,27911.61597075872
74,26975.46106976829
75,26081.756747722626
76,25229.701919021085
77,24408.67120699212
78,23607.234939619895
79,22842.77540660836
80,22114.47269630432
81,21413.676093274727
82,20745.49207270704
83,20105.382042912766
84,19483.14474071935
85,18882.361737748608
86,18305.10527241416
87,17756.14431410469
88,17229.689757606015
89,16717.147019684315
90,16218.361582087353
91,15743.413403226063
92,15292.17124440521
93,14853.620215220377
94,14428.533180298284
95,14024.876634791492
96,13639.1238683369
97,13267.790384942664
98,12906.765287706628
99,12548.267518203704
100,12201.60769385472
101,11874.61489038542
102,11558.192487912253
103,11247.314636321738
104,10973.036924617363
105,10711.200214171782
106,10453.265840670092
107,10206.3821267616
108,9965.78616486117
109,9733.084657512605
110,9506.454865265636
111,9284.87224446237
112,9071.177586939184
113,8858.942262424156
114,8652.959656108169
115,8456.082914970815
116,8268.320066135377
117,8082.639152415096
118,7898.96325053461
119,7721.230135198682
120,7547.112878771498
121,7376.236242130399
122,7210.957511730493
123,7051.416539357975
124,6895.989395918325
125,6745.058950299397
126,6597.568332670256
127,6454.337583152576
128,6312.775210412219
129,6175.9696506261835
130,6041.289711009711
131,5915.389700615779
132,5792.056249866262
133,5671.367854846641
134,5553.437132364138
135,5439.745767891407
136,5327.569029998033
137,5220.813397655264
138,5112.768164146692
139,5008.042201645672
140,4907.167160544544
141,4809.334268948063
142,4714.055576942861
143,4615.991753889248
144,4520.233922172338
145,4429.427747238427
146,4339.179766699672
147,4247.763758951798
148,4161.061156615615
149,4079.3472715746607
150,3998.216121526435
151,3915.9239548016335
152,3833.612062340602
153,3754.133438929915
154,3677.8969748876984
155,3603.078077942133
156,3529.6617830824102
157,3458.706015085801
158,3385.756079237908
159,3316.655169410631
160,3264.145518159494
161,3217.0486360415816
162,3169.4322284683585
163,3121.9035125356168
164,3076.5308809652925
165,3034.1848571877927
166,2992.581153266132
167,2952.3553964514285
168,2912.194835804403
169,2873.092870205641
170,2833.955935556441
171,2795.1131680570543
172,2758.5326113794
173,2722.6891058888286
174,2687.561080247164
175,2652.3615157399327
176,2618.8084774054582
177,2584.4075291361655
178,2550.0369218159462
179,2517.1528466325253
180,2486.1101498380303
181,2455.028518712148
182,2423.7460567839444
183,2393.7002732586116
184,2365.226371753961
185,2337.3356889262795
186,2308.5374471768737
187,2280.7791673708707
188,2253.182568056509
189,2226.5492826513946
190,2200.1937091201544
191,2173.216394478455
192,2147.0126442480832
193,2122.0254123602062
194,2097.5735229328275
195,2073.1953098978847
196,2049.1879441551864
197,2025.1722205020487
198,2002.1650417521596
199,1979.27212186344
200,1956.3499448932707
201,1933.852749859914
202,1911.5136172659693
