x,y
1,97903151.69551013
2,76808259.37231006
3,50787400.09212338
4,27741338.99674928
5,16978211.31582098
6,11248184.360033235
7,7891267.894704546
8,5765940.06378334
9,4387758.029096313
10,3414533.222962804
11,2736779.733104624
12,2222170.5862768106
13,1837276.7420716065
14,1539186.117392214
15,1304737.5197712816
16,1119295.4735916704
17,966984.7548896708
18,843224.714173589
19,740577.8817391098
20,654948.7503234241
21,581826.6423238497
22,519835.43295763055
23,466767.59994749166
24,421169.44153052755
25,381678.54489198513
26,347001.1748493612
27,316627.1478227731
28,289802.0099624265
29,266063.2923739683
30,245037.1294020321
31,226299.42870170064
32,209535.43254924752
33,194497.22147987408
34,180976.0341246724
35,168816.86285400018
36,157502.6474007722
37,147423.2399523966
38,138128.0151878316
39,129672.8864002265
40,121903.2424607072
41,114814.99934277683
42,108302.15679830498
43,102360.85154302976
44,96861.62537315674
45,91842.43926083855
46,87191.31775622441
47,82802.80263008177
48,78712.9224594347
49,74972.2276332807
50,71498.30698918365
51,68268.65428702906
52,65138.12858611904
53,62251.309991024435
54,59519.1478788536
55,56970.2478768006
56,54589.417222579934
57,52272.64374515786
58,50122.24584117532
59,48071.027008511126
60,46156.25606362894
61,44361.13855860941
62,42642.18218845129
63,41021.85227555595
64,39507.46299896948
65,38059.14588291757
66,36659.86927138828
67,35323.25600434281
68,34078.925423054025
69,32881.84631532431
70,31723.522856138647
71,30670.690706137568
72,29638.64097235538
73,28681.24980049208
74,27729.992568589743
75,26829.184134332463
76,25960.60949023068
77,25148.251173665747
78,24361.330086153
79,23612.332035634663
80,22878.548863131553
81,22196.00716553442
82,21498.632288392637
83,20854.38363603875
84,20226.46061092429
85,19642.10428583436
86,19060.344800209623
87,18504.2298927363
88,17960.936854874715
89,17447.85486335121
90,16958.18059119023
91,16488.609025212005
92,16022.732038279995
93,15581.415978198873
94,15141.339178273454
95,14732.852861100808
96,14338.574309684336
97,13950.837990064172
98,13583.156518058851
99,13225.110597807914
100,12877.301794502884
101,12533.189132168887
102,12204.626505907623
103,11882.051450565456
104,11573.594352347776
105,11269.014953488484
106,11001.429465902967
107,10753.421607177705
108,10517.338875569403
109,10287.822944853455
110,10063.808833589776
111,9849.932126509024
112,9633.77253915742
113,9430.102681782097
114,9227.126747645436
115,9033.547779889775
116,8841.399539679289
117,8658.357789868489
118,8470.233087033033
119,8296.412973508239
120,8118.229544535278
121,7964.62039704807
122,7793.559699662029
123,7639.167679291218
124,7476.834927929564
125,7323.280983781442
126,7167.9588559847325
127,7027.397685818374
128,6884.282884210348
129,6745.679337164387
130,6608.687894631177
131,6483.48580365628
132,6352.154846146703
133,6226.979674756527
134,6102.666868725792
135,5985.069223497063
136,5865.151740375905
137,5747.483147870749
138,5640.676960708573
139,5531.225962517783
140,5421.364340208471
141,5313.74028788507
142,5213.122999176383
143,5112.246307486668
144,5013.682100471109
145,4921.507885262369
146,4833.556062022224
147,4745.064383873716
148,4660.566465908661
149,4574.915383564308
150,4492.180020991713
151,4412.919485094026
152,4334.368362914771
153,4258.33825625293
154,4185.639111407101
155,4111.427252320573
156,4035.0897242780766
157,3963.7488033864647
158,3890.315442258492
159,3823.3114674910894
160,3768.7819376550606
161,3716.6228767260905
162,3662.041659828275
163,3616.1882906388487
164,3568.1996803153306
165,3522.3931694552302
166,3475.841414604336
167,3434.6304325759406
168,3394.457389121875
169,3353.27074833028
170,3310.2786221951246
171,3266.6457130331546
172,3226.555158337578
173,3186.9621481429785
174,3146.405262222513
175,3108.691984733566
176,3073.282532999292
177,3038.2683588825166
178,3002.966102300212
179,2968.895308025181
180,2935.588069515303
181,2903.0212046839297
182,2869.182941183448
183,2837.276846200228
184,2804.4546577278525
185,2775.4739662799984
186,2743.632841728628
187,2713.8189059291035
188,2685.360752299428
189,2657.2775150947273
190,2624.794511836022
191,2596.754142202437
192,2565.0538887586445
193,2539.0377200506628
194,2510.350465286523
195,2484.837130162865
196,2456.6260124854743
197,2434.9230448454614
198,2409.6977348197247
199,2384.900669712573
200,2359.546592263505
201,2334.860190048814
202,2309.7876708637923
